,1992年 ,1993年 ,  1994年 ,  1995年 ,1996年,1997年,  1998年 ,  1999年 ,  2000年 ,  2001年 ,  2002年 ,  2003年 ,  2004年 ,  2005年 ,  2006年,  2007年,  2008年,  2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016 年,2017 年
全国总计,0.58 ,0.59 ,0.58 ,0.60 ,0.62 ,0.63 ,0.64 ,0.63 ,0.63 ,0.62 ,0.62 ,0.61 ,0.63 ,0.63 ,0.63 ,0.64 ,0.66 ,0.66 ,0.66 ,0.67 ,0.68 ,0.67 ,0.68 ,0.69 ,0.69 ,0.69 
北京,0.67 ,0.70 ,0.79 ,0.72 ,0.69 ,0.68 ,0.69 ,0.67 ,0.67 ,0.63 ,0.64 ,0.63 ,0.63 ,0.63 ,0.57 ,0.60 ,0.75 ,0.50 ,0.67 ,1.00 ,0.50 ,0.50 ,0.50 ,0.50 ,0.50 ,1.00 
天津,0.70 ,0.76 ,0.79 ,0.81 ,0.77 ,0.77 ,0.83 ,0.66 ,0.41 ,0.65 ,0.75 ,0.81 ,0.81 ,0.73 ,0.73 ,0.69 ,0.70 ,0.71 ,0.71 ,0.75 ,0.77 ,0.77 ,0.79 ,0.73 ,0.75 ,0.86 
河北,0.64 ,0.68 ,0.75 ,0.70 ,0.65 ,0.66 ,0.65 ,0.60 ,0.46 ,0.50 ,0.50 ,0.54 ,0.57 ,0.59 ,0.58 ,0.68 ,0.68 ,0.68 ,0.68 ,0.73 ,0.58 ,0.68 ,0.64 ,0.64 ,0.67 ,0.67 
山西,0.63 ,0.57 ,0.59 ,0.66 ,0.55 ,0.62 ,0.66 ,0.56 ,0.73 ,0.45 ,0.57 ,0.39 ,0.42 ,0.33 ,0.47 ,0.40 ,0.09 ,0.45 ,0.50 ,0.50 ,0.60 ,0.70 ,0.86 ,0.71 ,0.75 ,0.63 
内蒙古,0.44 ,0.45 ,0.45 ,0.50 ,0.57 ,0.58 ,0.51 ,0.59 ,0.61 ,0.66 ,0.62 ,0.67 ,0.67 ,0.74 ,0.72 ,0.75 ,0.72 ,0.64 ,0.81 ,0.87 ,0.82 ,0.74 ,0.66 ,0.67 ,0.64 ,0.70 
辽宁,0.74 ,0.78 ,0.69 ,0.55 ,0.71 ,0.78 ,0.76 ,0.83 ,0.77 ,0.65 ,0.73 ,0.70 ,0.74 ,0.73 ,0.68 ,0.76 ,0.77 ,0.77 ,0.68 ,0.77 ,0.77 ,0.78 ,0.83 ,0.86 ,0.86 ,0.86 
吉林,0.68 ,0.68 ,0.70 ,0.69 ,0.80 ,0.83 ,0.84 ,0.87 ,0.64 ,0.54 ,0.56 ,0.59 ,0.73 ,0.72 ,0.74 ,0.75 ,0.88 ,0.76 ,0.84 ,0.90 ,0.76 ,0.78 ,0.77 ,0.83 ,0.84 ,0.83 
黑龙江,0.48 ,0.53 ,0.55 ,0.56 ,0.57 ,0.62 ,0.59 ,0.58 ,0.65 ,0.65 ,0.59 ,0.65 ,0.71 ,0.68 ,0.68 ,0.63 ,0.63 ,0.64 ,0.67 ,0.70 ,0.71 ,0.70 ,0.72 ,0.70 ,0.70 ,0.71 
上海,0.71 ,0.71 ,0.76 ,0.76 ,0.78 ,0.80 ,0.80 ,0.77 ,0.78 ,0.83 ,0.82 ,0.77 ,0.80 ,0.76 ,0.81 ,0.79 ,0.82 ,0.83 ,0.83 ,0.84 ,0.85 ,0.85 ,0.86 ,0.86 ,0.86 ,0.82 
江苏,0.71 ,0.74 ,0.74 ,0.80 ,0.80 ,0.81 ,0.88 ,0.81 ,0.82 ,0.84 ,0.86 ,0.76 ,0.79 ,0.77 ,0.80 ,0.79 ,0.79 ,0.81 ,0.81 ,0.83 ,0.84 ,0.85 ,0.83 ,0.85 ,0.84 ,0.85 
浙江,0.56 ,0.57 ,0.58 ,0.57 ,0.60 ,0.59 ,0.60 ,0.58 ,0.62 ,0.65 ,0.67 ,0.66 ,0.67 ,0.63 ,0.69 ,0.67 ,0.70 ,0.71 ,0.70 ,0.73 ,0.73 ,0.70 ,0.72 ,0.70 ,0.73 ,0.72 
安徽,0.55 ,0.58 ,0.56 ,0.59 ,0.59 ,0.58 ,0.64 ,0.61 ,0.55 ,0.60 ,0.65 ,0.49 ,0.61 ,0.58 ,0.60 ,0.62 ,0.62 ,0.63 ,0.62 ,0.62 ,0.63 ,0.62 ,0.62 ,0.65 ,0.62 ,0.63 
福建,0.50 ,0.50 ,0.50 ,0.52 ,0.53 ,0.53 ,0.53 ,0.52 ,0.52 ,0.52 ,0.51 ,0.54 ,0.55 ,0.55 ,0.56 ,0.58 ,0.59 ,0.60 ,0.59 ,0.61 ,0.61 ,0.61 ,0.63 ,0.61 ,0.61 ,0.63 
江西,0.49 ,0.49 ,0.51 ,0.49 ,0.54 ,0.53 ,0.49 ,0.53 ,0.53 ,0.53 ,0.52 ,0.51 ,0.52 ,0.53 ,0.56 ,0.57 ,0.57 ,0.58 ,0.56 ,0.59 ,0.59 ,0.60 ,0.61 ,0.61 ,0.61 ,0.61 
山东,0.66 ,0.69 ,0.72 ,0.75 ,0.75 ,0.68 ,0.88 ,0.67 ,0.63 ,0.63 ,0.70 ,0.69 ,0.73 ,0.80 ,0.82 ,0.84 ,0.84 ,0.83 ,0.83 ,0.84 ,0.83 ,0.84 ,0.87 ,0.82 ,0.83 ,0.83 
河南,0.55 ,0.65 ,0.60 ,0.66 ,0.66 ,0.70 ,0.74 ,0.65 ,0.69 ,0.49 ,0.72 ,0.48 ,0.70 ,0.70 ,0.71 ,0.73 ,0.73 ,0.74 ,0.75 ,0.74 ,0.76 ,0.76 ,0.81 ,0.81 ,0.83 ,0.79 
湖北,0.69 ,0.68 ,0.71 ,0.72 ,0.70 ,0.74 ,0.73 ,0.74 ,0.75 ,0.73 ,0.76 ,0.74 ,0.75 ,0.74 ,0.73 ,0.75 ,0.78 ,0.78 ,0.76 ,0.79 ,0.82 ,0.80 ,0.79 ,0.83 ,0.79 ,0.81 
湖南,0.58 ,0.58 ,0.60 ,0.60 ,0.60 ,0.61 ,0.59 ,0.59 ,0.61 ,0.63 ,0.60 ,0.61 ,0.61 ,0.61 ,0.61 ,0.62 ,0.64 ,0.64 ,0.62 ,0.63 ,0.64 ,0.63 ,0.64 ,0.64 ,0.64 ,0.65 
广东,0.54 ,0.53 ,0.51 ,0.55 ,0.57 ,0.59 ,0.60 ,0.63 ,0.58 ,0.55 ,0.55 ,0.55 ,0.53 ,0.52 ,0.52 ,0.54 ,0.52 ,0.54 ,0.54 ,0.57 ,0.58 ,0.55 ,0.58 ,0.58 ,0.58 ,0.58 
广西,0.50 ,0.51 ,0.44 ,0.52 ,0.52 ,0.52 ,0.53 ,0.54 ,0.53 ,0.51 ,0.51 ,0.51 ,0.48 ,0.50 ,0.51 ,0.52 ,0.52 ,0.54 ,0.54 ,0.52 ,0.56 ,0.56 ,0.59 ,0.57 ,0.58 ,0.57 
海南,0.39 ,0.38 ,0.39 ,0.41 ,0.40 ,0.43 ,0.42 ,0.43 ,0.41 ,0.43 ,0.40 ,0.42 ,0.44 ,0.37 ,0.45 ,0.46 ,0.46 ,0.46 ,0.43 ,0.46 ,0.48 ,0.48 ,0.52 ,0.51 ,0.52 ,0.50 
重庆,NA,NA,NA,NA,NA,0.68 ,0.65 ,0.67 ,0.69 ,0.62 ,0.65 ,0.66 ,0.68 ,0.70 ,0.51 ,0.75 ,0.79 ,0.75 ,0.76 ,0.72 ,0.72 ,0.73 ,0.73 ,0.74 ,0.74 ,0.74 
四川,0.69 ,0.67 ,0.65 ,0.70 ,0.72 ,0.76 ,0.76 ,0.78 ,0.77 ,0.68 ,0.72 ,0.72 ,0.74 ,0.72 ,0.64 ,0.70 ,0.74 ,0.75 ,0.75 ,0.76 ,0.77 ,0.78 ,0.77 ,0.78 ,0.78 ,0.79 
贵州,0.51 ,0.52 ,0.58 ,0.57 ,0.62 ,0.62 ,0.64 ,0.61 ,0.64 ,0.61 ,0.47 ,0.64 ,0.67 ,0.66 ,0.62 ,0.67 ,0.67 ,0.65 ,0.64 ,0.45 ,0.59 ,0.53 ,0.60 ,0.62 ,0.64 ,0.64 
云南,0.50 ,0.51 ,0.54 ,0.54 ,0.57 ,0.58 ,0.58 ,0.61 ,0.53 ,0.54 ,0.50 ,0.61 ,0.59 ,0.62 ,0.60 ,0.60 ,0.61 ,0.61 ,0.60 ,0.62 ,0.60 ,0.58 ,0.59 ,0.58 ,0.59 ,0.61 
西藏,0.36 ,0.36 ,0.44 ,0.50 ,NA,0.45 ,0.45 ,0.60 ,0.60 ,0.55 ,0.35 ,0.60 ,0.55 ,0.60 ,0.60 ,0.60 ,0.50 ,0.50 ,0.60 ,0.60 ,0.50 ,0.60 ,0.56 ,0.56 ,0.55 ,0.56 
陕西,0.62 ,0.53 ,0.45 ,0.46 ,0.67 ,0.61 ,0.63 ,0.56 ,0.65 ,0.65 ,0.62 ,0.54 ,0.60 ,0.61 ,0.59 ,0.63 ,0.67 ,0.66 ,0.67 ,0.70 ,0.71 ,0.74 ,0.74 ,0.75 ,0.75 ,0.76 
甘肃,0.61 ,0.56 ,0.83 ,0.78 ,0.75 ,0.71 ,0.69 ,0.79 ,0.86 ,0.93 ,0.89 ,0.75 ,0.80 ,0.80 ,0.75 ,0.64 ,0.69 ,0.68 ,0.71 ,NA,0.70 ,0.72 ,0.78 ,0.69 ,0.67 ,0.73 
青海,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
宁夏,0.67 ,0.70 ,0.82 ,0.74 ,0.84 ,0.89 ,0.95 ,0.93 ,0.81 ,0.83 ,0.87 ,0.79 ,0.82 ,0.86 ,0.87 ,0.79 ,0.83 ,0.83 ,0.84 ,0.84 ,0.85 ,0.84 ,0.83 ,0.82 ,0.84 ,0.85 
新疆,0.56 ,0.48 ,0.63 ,0.64 ,0.66 ,0.67 ,0.81 ,0.57 ,0.77 ,0.77 ,0.79 ,0.75 ,0.59 ,0.78 ,0.87 ,0.88 ,0.58 ,0.67 ,0.88 ,0.86 ,0.86 ,0.89 ,1.15 ,0.98 ,0.86 ,0.88 
