name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,
北京市,,,,,,,,,,,,,,,,,60.00 ,,,70.00 ,150.00 ,,,,,,,
天津市,,,,,,,,,,510.20 ,,,,,,,,,,,,,,,,,,
河北,177.01 ,190.11 ,174.10 ,173.00 ,245.62 ,212.30 ,218.70 ,205.13 ,226.81 ,226.54 ,224.81 ,225.60 ,247.80 ,263.80 ,260.94 ,221.30 ,203.10 ,222.41 ,220.51 ,234.09 ,221.07 ,,,,,,,
山西,151.22 ,178.10 ,166.40 ,170.00 ,175.02 ,163.22 ,169.70 ,174.70 ,204.20 ,169.82 ,186.50 ,223.23 ,210.10 ,237.90 ,406.90 ,219.70 ,262.80 ,256.70 ,264.80 ,270.60 ,296.50 ,278.70 ,300.90 ,319.50 ,313.90 ,348.60 ,289.60 ,
内蒙古,220.14 ,363.50 ,402.30 ,212.90 ,221.21 ,260.00 ,227.00 ,228.20 ,172.90 ,176.93 ,203.20 ,239.90 ,240.40 ,239.11 ,580.93 ,533.80 ,295.00 ,278.30 ,369.60 ,371.60 ,372.50 ,,,,,,,
辽宁,12.20 ,13.80 ,12.80 ,12.80 ,13.70 ,12.20 ,13.70 ,13.00 ,11.40 ,13.70 ,14.70 ,13.90 ,15.50 ,14.10 ,21.60 ,24.30 ,18.70 ,256.00 ,261.78 ,18.50 ,18.99 ,287.60 ,295.60 ,290.20 ,280.80 ,336.70 ,,
吉林,154.40 ,175.70 ,177.30 ,159.70 ,181.52 ,168.24 ,208.40 ,218.70 ,224.91 ,220.60 ,240.90 ,238.40 ,267.32 ,264.40 ,296.60 ,290.40 ,296.60 ,284.51 ,301.14 ,324.94 ,324.50 ,,,,,,,
黑龙江,140.90 ,156.10 ,141.80 ,163.80 ,177.21 ,162.10 ,159.84 ,173.90 ,193.90 ,181.54 ,166.50 ,125.61 ,177.61 ,174.63 ,294.74 ,195.40 ,234.00 ,222.13 ,256.16 ,243.91 ,255.10 ,,,,,,,
上海,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏,136.44 ,167.72 ,215.83 ,200.20 ,184.34 ,191.40 ,255.31 ,292.00 ,190.43 ,190.90 ,197.31 ,201.10 ,229.00 ,130.20 ,219.11 ,128.70 ,218.80 ,221.67 ,215.83 ,204.50 ,202.50 ,170.00 ,,,,,,
浙江,178.34 ,168.80 ,176.50 ,198.53 ,184.22 ,186.14 ,210.31 ,204.30 ,205.70 ,204.31 ,224.50 ,225.70 ,239.60 ,227.40 ,232.21 ,256.70 ,270.40 ,245.93 ,234.96 ,241.23 ,239.59 ,,,,,,,
安徽,148.20 ,183.50 ,171.84 ,219.30 ,176.94 ,231.21 ,202.50 ,236.31 ,163.30 ,225.11 ,225.62 ,187.70 ,237.20 ,240.30 ,239.50 ,254.30 ,261.80 ,282.83 ,273.14 ,271.01 ,270.81 ,,,,,,,
福建,137.73 ,132.40 ,130.40 ,140.80 ,152.84 ,165.01 ,158.83 ,167.40 ,170.00 ,172.20 ,166.81 ,172.60 ,183.20 ,174.70 ,188.80 ,198.24 ,206.80 ,210.93 ,193.75 ,211.07 ,211.47 ,,,,,,,
江西,121.40 ,122.92 ,100.50 ,106.41 ,127.60 ,135.90 ,114.40 ,117.81 ,128.50 ,134.22 ,147.33 ,155.01 ,190.20 ,182.10 ,200.90 ,218.04 ,232.90 ,239.01 ,213.10 ,227.30 ,220.32 ,,,,,,,
山东,178.70 ,207.20 ,154.80 ,184.60 ,224.44 ,218.40 ,216.30 ,203.52 ,186.30 ,178.40 ,208.64 ,223.10 ,195.00 ,218.20 ,256.70 ,252.30 ,242.20 ,255.63 ,276.75 ,261.59 ,259.11 ,,,,,,,
河南,164.90 ,169.90 ,166.43 ,177.00 ,167.90 ,193.01 ,193.54 ,203.90 ,166.50 ,183.90 ,185.51 ,162.52 ,197.10 ,220.70 ,235.50 ,235.40 ,239.40 ,266.20 ,235.50 ,234.50 ,244.60 ,,,,,,,
湖北,162.70 ,149.50 ,151.70 ,164.90 ,184.34 ,195.63 ,176.04 ,183.10 ,184.11 ,193.90 ,177.80 ,169.74 ,176.70 ,190.90 ,191.10 ,180.43 ,192.60 ,203.92 ,198.72 ,209.88 ,202.55 ,,,,182.71 ,,,
湖南,163.61 ,163.30 ,138.54 ,149.41 ,151.64 ,172.03 ,171.50 ,178.30 ,188.70 ,189.90 ,199.12 ,198.91 ,214.30 ,212.82 ,211.64 ,215.20 ,217.90 ,226.07 ,230.45 ,235.26 ,220.93 ,,,,,,,
广东,163.50 ,156.23 ,149.80 ,170.60 ,175.90 ,198.30 ,197.30 ,203.80 ,199.70 ,190.60 ,196.90 ,200.50 ,198.44 ,199.22 ,209.81 ,213.12 ,210.10 ,216.78 ,230.83 ,232.32 ,242.66 ,,,,,,,
广西,151.14 ,135.92 ,121.20 ,134.70 ,152.53 ,168.30 ,150.22 ,154.31 ,162.30 ,176.40 ,161.10 ,163.81 ,169.10 ,157.91 ,171.30 ,171.43 ,166.10 ,186.61 ,169.03 ,176.04 ,183.36 ,,,,,,,
海南,134.30 ,86.50 ,71.90 ,70.73 ,75.00 ,76.22 ,41.11 ,78.50 ,78.10 ,234.80 ,426.30 ,117.50 ,75.00 ,11.00 ,,,,,,83.33 ,80.00 ,,,,,,,
重庆,,,,,,,141.30 ,149.53 ,147.10 ,145.02 ,155.42 ,150.33 ,160.50 ,175.10 ,188.10 ,164.21 ,179.10 ,190.01 ,189.61 ,202.77 ,205.86 ,,,,,,,
四川,159.60 ,146.60 ,131.70 ,132.60 ,177.64 ,185.24 ,147.40 ,160.81 ,190.01 ,173.12 ,201.10 ,201.42 ,216.94 ,228.50 ,225.33 ,218.32 ,207.20 ,213.74 ,226.99 ,212.85 ,225.08 ,,,,,,,
贵州,150.00 ,157.31 ,145.90 ,134.63 ,160.21 ,162.74 ,160.61 ,155.20 ,158.10 ,142.80 ,152.00 ,150.40 ,157.50 ,165.70 ,170.41 ,173.84 ,191.50 ,197.31 ,199.73 ,161.72 ,157.63 ,,,,,,,
云南,206.80 ,181.40 ,156.00 ,168.60 ,179.00 ,193.10 ,177.60 ,190.90 ,193.20 ,183.14 ,200.60 ,190.53 ,194.93 ,201.44 ,200.10 ,207.53 ,215.50 ,226.00 ,226.09 ,213.14 ,210.94 ,,,,,,,
西藏,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西,161.80 ,158.50 ,141.44 ,129.84 ,176.90 ,141.20 ,157.90 ,157.10 ,147.60 ,155.20 ,163.80 ,158.50 ,176.12 ,180.11 ,183.01 ,180.73 ,212.80 ,203.79 ,215.97 ,214.60 ,228.54 ,,,,,,,
甘肃,234.43 ,203.70 ,173.30 ,173.42 ,225.63 ,205.40 ,238.10 ,199.30 ,181.04 ,185.94 ,168.14 ,233.90 ,248.40 ,238.70 ,248.03 ,206.80 ,258.50 ,280.40 ,301.75 ,325.56 ,315.47 ,335.40 ,308.73 ,314.43 ,319.77 ,322.50 ,,
青海,122.00 ,228.80 ,415.00 ,90.00 ,77.80 ,87.80 ,80.80 ,210.00 ,298.33 ,186.00 ,407.00 ,540.00 ,484.30 ,488.70 ,478.00 ,588.13 ,390.00 ,973.68 ,439.41 ,950.00 ,770.59 ,,,,,,,
宁夏,207.50 ,,163.42 ,152.80 ,218.20 ,189.12 ,250.00 ,200.30 ,224.92 ,217.40 ,200.00 ,438.33 ,436.92 ,577.70 ,306.00 ,327.60 ,383.30 ,489.07 ,510.87 ,506.43 ,500.00 ,,,,,,,
新疆,258.70 ,268.83 ,245.00 ,276.90 ,209.60 ,178.90 ,168.00 ,176.81 ,193.80 ,196.00 ,220.70 ,302.54 ,181.70 ,152.30 ,140.00 ,128.50 ,239.60 ,176.12 ,155.00 ,,208.33 ,,,,,,,
台湾,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳门,,,,,,,,,,,,,,,,,,,,,,,,,,,,
